band,mag,t_min,SN
g,24.0,2.0,29.553
g,24.0,3.4,38.365
g,24.0,5.7,49.804
g,24.0,9.6,64.654
g,24.0,16.1,83.932
g,24.0,27.2,108.957
g,24.0,45.8,141.445
g,24.0,77.2,183.619
g,24.0,130.1,238.368
g,24.0,219.3,309.441
g,25.0,2.0,12.089
g,25.0,3.4,15.693
g,25.0,5.7,20.372
g,25.0,9.6,26.447
g,25.0,16.1,34.332
g,25.0,27.2,44.569
g,25.0,45.8,57.858
g,25.0,77.2,75.109
g,25.0,130.1,97.504
g,25.0,219.3,126.576
g,26.0,2.0,4.867
g,26.0,3.4,6.318
g,26.0,5.7,8.202
g,26.0,9.6,10.647
g,26.0,16.1,13.822
g,26.0,27.2,17.943
g,26.0,45.8,23.293
g,26.0,77.2,30.239
g,26.0,130.1,39.255
g,26.0,219.3,50.959
g,27.0,2.0,1.946
g,27.0,3.4,2.527
g,27.0,5.7,3.280
g,27.0,9.6,4.258
g,27.0,16.1,5.528
g,27.0,27.2,7.176
g,27.0,45.8,9.315
g,27.0,77.2,12.093
g,27.0,130.1,15.699
g,27.0,219.3,20.379
g,28.0,2.0,0.776
g,28.0,3.4,1.008
g,28.0,5.7,1.308
g,28.0,9.6,1.698
g,28.0,16.1,2.205
g,28.0,27.2,2.862
g,28.0,45.8,3.715
g,28.0,77.2,4.823
g,28.0,130.1,6.261
g,28.0,219.3,8.128
r2,24.0,2.0,19.087
r2,24.0,3.4,24.778
r2,24.0,5.7,32.165
r2,24.0,9.6,41.756
r2,24.0,16.1,54.206
r2,24.0,27.2,70.369
r2,24.0,45.8,91.351
r2,24.0,77.2,118.588
r2,24.0,130.1,153.947
r2,24.0,219.3,199.849
r2,25.0,2.0,7.693
r2,25.0,3.4,9.986
r2,25.0,5.7,12.964
r2,25.0,9.6,16.829
r2,25.0,16.1,21.847
r2,25.0,27.2,28.361
r2,25.0,45.8,36.817
r2,25.0,77.2,47.795
r2,25.0,130.1,62.046
r2,25.0,219.3,80.545
r2,26.0,2.0,3.078
r2,26.0,3.4,3.995
r2,26.0,5.7,5.187
r2,26.0,9.6,6.733
r2,26.0,16.1,8.741
r2,26.0,27.2,11.347
r2,26.0,45.8,14.730
r2,26.0,77.2,19.122
r2,26.0,130.1,24.824
r2,26.0,219.3,32.226
r2,27.0,2.0,1.228
r2,27.0,3.4,1.594
r2,27.0,5.7,2.069
r2,27.0,9.6,2.686
r2,27.0,16.1,3.487
r2,27.0,27.2,4.526
r2,27.0,45.8,5.876
r2,27.0,77.2,7.628
r2,27.0,130.1,9.902
r2,27.0,219.3,12.855
r2,28.0,2.0,0.489
r2,28.0,3.4,0.635
r2,28.0,5.7,0.824
r2,28.0,9.6,1.070
r2,28.0,16.1,1.389
r2,28.0,27.2,1.803
r2,28.0,45.8,2.341
r2,28.0,77.2,3.039
r2,28.0,130.1,3.945
r2,28.0,219.3,5.122
i2,24.0,2.0,10.588
i2,24.0,3.4,13.745
i2,24.0,5.7,17.843
i2,24.0,9.6,23.163
i2,24.0,16.1,30.070
i2,24.0,27.2,39.035
i2,24.0,45.8,50.674
i2,24.0,77.2,65.784
i2,24.0,130.1,85.398
i2,24.0,219.3,110.861
i2,25.0,2.0,4.238
i2,25.0,3.4,5.502
i2,25.0,5.7,7.142
i2,25.0,9.6,9.272
i2,25.0,16.1,12.036
i2,25.0,27.2,15.625
i2,25.0,45.8,20.284
i2,25.0,77.2,26.332
i2,25.0,130.1,34.184
i2,25.0,219.3,44.376
i2,26.0,2.0,1.691
i2,26.0,3.4,2.195
i2,26.0,5.7,2.850
i2,26.0,9.6,3.699
i2,26.0,16.1,4.802
i2,26.0,27.2,6.234
i2,26.0,45.8,8.093
i2,26.0,77.2,10.506
i2,26.0,130.1,13.639
i2,26.0,219.3,17.705
i2,27.0,2.0,0.674
i2,27.0,3.4,0.875
i2,27.0,5.7,1.135
i2,27.0,9.6,1.474
i2,27.0,16.1,1.914
i2,27.0,27.2,2.484
i2,27.0,45.8,3.225
i2,27.0,77.2,4.186
i2,27.0,130.1,5.434
i2,27.0,219.3,7.055
i2,28.0,2.0,0.268
i2,28.0,3.4,0.348
i2,28.0,5.7,0.452
i2,28.0,9.6,0.587
i2,28.0,16.1,0.762
i2,28.0,27.2,0.989
i2,28.0,45.8,1.284
i2,28.0,77.2,1.667
i2,28.0,130.1,2.164
i2,28.0,219.3,2.810
