# PFS ETC continuum S/N per pixel in r2-band; seeing 0.8″, zenith 45°, moon 0, R$_{eff}$=0.3″
mag_AB,exp_num,total_time_min,SN_per_pixel
22.0,1,7.5,0.7968
22.0,2,15.0,1.1256
22.0,3,22.5,1.3768
22.0,4,30.0,1.5879
22.0,6,45.0,1.9403
22.0,8,60.0,2.2354
22.0,12,90.0,2.7247
22.0,16,120.0,3.1313
22.0,24,180.0,3.7994
22.0,32,240.0,4.3532
22.0,48,360.0,5.2402
22.5,1,7.5,0.5099
22.5,2,15.0,0.7202
22.5,3,22.5,0.8811
22.5,4,30.0,1.0161
22.5,6,45.0,1.2413
22.5,8,60.0,1.4300
22.5,12,90.0,1.7427
22.5,16,120.0,2.0028
22.5,24,180.0,2.4300
22.5,32,240.0,2.7829
22.5,48,360.0,3.3491
23.0,1,7.5,0.3246
23.0,2,15.0,0.4586
23.0,3,22.5,0.5610
23.0,4,30.0,0.6470
23.0,6,45.0,0.7902
23.0,8,60.0,0.9103
23.0,12,90.0,1.1094
23.0,16,120.0,1.2748
23.0,24,180.0,1.5468
23.0,32,240.0,1.7706
23.0,48,360.0,2.1307
23.5,1,7.5,0.2061
23.5,2,15.0,0.2911
23.5,3,22.5,0.3560
23.5,4,30.0,0.4105
23.5,6,45.0,0.5015
23.5,8,60.0,0.5776
23.5,12,90.0,0.7040
23.5,16,120.0,0.8088
23.5,24,180.0,0.9814
23.5,32,240.0,1.1231
23.5,48,360.0,1.3514
24.0,1,7.5,0.1305
24.0,2,15.0,0.1843
24.0,3,22.5,0.2254
24.0,4,30.0,0.2600
24.0,6,45.0,0.3176
24.0,8,60.0,0.3658
24.0,12,90.0,0.4458
24.0,16,120.0,0.5121
24.0,24,180.0,0.6215
24.0,32,240.0,0.7111
24.0,48,360.0,0.8555
