# PFS ETC continuum S/N per pixel in z-band; seeing 0.8″, zenith 45°, moon 0, R$_{eff}$=0.3″
mag_AB,exp_num,total_time_min,SN_per_pixel
22.0,1,7.5,0.7317
22.0,2,15.0,1.0309
22.0,3,22.5,1.2573
22.0,4,30.0,1.4472
22.0,6,45.0,1.7584
22.0,8,60.0,2.0168
22.0,12,90.0,2.4377
22.0,16,120.0,2.7818
22.0,24,180.0,3.3226
22.0,32,240.0,3.7417
22.0,48,360.0,4.3698
22.5,1,7.5,0.4672
22.5,2,15.0,0.6574
22.5,3,22.5,0.8027
22.5,4,30.0,0.9232
22.5,6,45.0,1.1219
22.5,8,60.0,1.2853
22.5,12,90.0,1.5556
22.5,16,120.0,1.7717
22.5,24,180.0,2.1178
22.5,32,240.0,2.3820
22.5,48,360.0,2.7794
23.0,1,7.5,0.2969
23.0,2,15.0,0.4181
23.0,3,22.5,0.5104
23.0,4,30.0,0.5869
23.0,6,45.0,0.7132
23.0,8,60.0,0.8166
23.0,12,90.0,0.9889
23.0,16,120.0,1.1244
23.0,24,180.0,1.3449
23.0,32,240.0,1.5117
23.0,48,360.0,1.7628
23.5,1,7.5,0.1882
23.5,2,15.0,0.2651
23.5,3,22.5,0.3236
23.5,4,30.0,0.3720
23.5,6,45.0,0.4523
23.5,8,60.0,0.5176
23.5,12,90.0,0.6269
23.5,16,120.0,0.7124
23.5,24,180.0,0.8518
23.5,32,240.0,0.9571
23.5,48,360.0,1.1162
24.0,1,7.5,0.1191
24.0,2,15.0,0.1677
24.0,3,22.5,0.2048
24.0,4,30.0,0.2354
24.0,6,45.0,0.2862
24.0,8,60.0,0.3276
24.0,12,90.0,0.3967
24.0,16,120.0,0.4507
24.0,24,180.0,0.5387
24.0,32,240.0,0.6052
24.0,48,360.0,0.7060
