z,SNIaWide,SNIaDeep,SNIaTotal,mu,mag,i-mag
0.1,0,5,5,38.32,18.92,18.84
0.2,20,10,30,39.96,20.56,20.52
0.3,50,8,58,40.96,21.56,21.55
0.4,50,10,60,41.68,22.28,22.31
0.5,80,30,110,42.26,22.86,22.91
0.6,175,40,215,42.74,23.34,23.42
0.7,280,50,330,43.15,23.75,23.86
0.8,310,60,370,43.5,24.1,24.24
0.9,360,80,440,43.82,24.42,24.59
1,390,90,480,44.1,24.7,24.9
1.1,410,110,520,44.36,24.96,25.21
1.2,350,85,435,44.59,25.19,25.49
1.3,340,100,440,44.81,25.41,25.76
1.4,330,90,420,45,25.6,26.01
1.5,250,110,360,45.19,25.79,26.24
1.6,190,80,270,45.36,25.96,26.46
1.7,120,90,210,45.52,26.12,26.68
1.8,105,80,185,45.68,26.28,26.88
1.9,50,60,110,45.82,26.42,27.07
2,30,60,90,45.96,26.56,27.26
2.1,10,50,60,46.09,26.69,27.44
2.2,10,50,60,46.21,26.81,27.61
2.3,5,40,45,46.33,26.93,27.78
2.4,0,20,20,46.44,27.04,27.94
2.5,0,20,20,46.55,27.15,28.1
2.6,0,10,10,46.65,27.25,28.25
2.7,0,20,20,46.75,27.35,28.4
2.8,0,5,5,46.85,27.45,28.54
2.9,0,5,5,46.94,27.54,28.68
3,0,0,0,47.03,27.63,28.83
#Total,3915,1468,5383,,,
